r_code,region,comm_code,community
1,Western Region,3110,Half-Assini
1,Western Region,3111,New Subri
1,Western Region,3113,Wasa Japa
1,Western Region,3114,Nsuaem
2,Central Region,3201,Apam-Manfam
2,Central Region,3202,Assin Breku
2,Central Region,3203,Ayeldu
2,Central Region,3204,Abura Oborko
2,Central Region,3205,Akwa Krom
2,Central Region,3207,Breman Benin
2,Central Region,3208,Essuekyir
2,Central Region,3209,Gomoa Dominase
2,Central Region,3210,Kasoa High Tension
2,Central Region,3212,Achiase
2,Central Region,3213,Ankaful
2,Central Region,3214,Nkanfoa
2,Central Region,3215,Entsi Fawomanye
3,Greater Accra Region,3303,Banana Inn (Soko)
3,Greater Accra Region,3304,Kwashiman
3,Greater Accra Region,3306,Nima
3,Greater Accra Region,3308,Scc
3,Greater Accra Region,3310,Gbawe
3,Greater Accra Region,3311,Achimota
3,Greater Accra Region,3312,Sakaman
3,Greater Accra Region,3313,Abeka
3,Greater Accra Region,3316,Sapeiman
3,Greater Accra Region,3322,Dome
3,Greater Accra Region,3323,Taifa
3,Greater Accra Region,3325,Madina
3,Greater Accra Region,3328,Matetse-Dodowa
3,Greater Accra Region,3337,Tsui Bleo
3,Greater Accra Region,3343,Ashaiman-Middle East
3,Greater Accra Region,3346,Ashaiman-Zenu
3,Greater Accra Region,3349,Ashaiman-Newtown
3,Greater Accra Region,3352,Community 1-Tema
3,Greater Accra Region,3358,Gbetsile
3,Greater Accra Region,3361,Koluedor
4,Volta Region,3401,Adidome
4,Volta Region,3402,Akatsi
4,Volta Region,3405,Tetemali
4,Volta Region,3406,Ohawu
4,Volta Region,3409,Ave Dakpa
4,Volta Region,3410,"Ahoe, Ho"
4,Volta Region,3414,Jasikan
4,Volta Region,3415,Worawora
4,Volta Region,3416,Dambai Zongo
5,Eastern Region,3501,Nsawam Ayigbe Town/Teshie Town
5,Eastern Region,3502,Osenase
5,Eastern Region,3503,Oda New Town Jamaica Towobotom
5,Eastern Region,3504,Suhum-Obeng Down
5,Eastern Region,3505,Akim Asafo
5,Eastern Region,3506,Kyebi Oman
5,Eastern Region,3509,Koforidua Agavenya
5,Eastern Region,3510,Yaw Donkor
5,Eastern Region,3511,Oterkpolu Proper
5,Eastern Region,3512,Sekesua  Kotokoli
5,Eastern Region,3513,Nkawkaw Nsuta
5,Eastern Region,3515,Atibie Kuma
5,Eastern Region,3517,Awuronsua
5,Eastern Region,3518,Nkawkaw Tenkyemso
6,Ashanti Region,3602,Seidi
6,Ashanti Region,3604,Abuakwa Buaso -Zongo
5,Eastern Region,3605,Abenase
6,Ashanti Region,3606,Ejisu
6,Ashanti Region,3607,Asuoyeboa-Dwom Nkwanta
6,Ashanti Region,3609,Agyei Mpra
6,Ashanti Region,3614,Obogu-Dentem
6,Ashanti Region,3615,Akomadan-New Atwene
6,Ashanti Region,3617,Ayigya
6,Ashanti Region,3618,Anwomaso
6,Ashanti Region,3619,Bonwire
3,Greater Accra Region,3620,Asebi
6,Ashanti Region,3622,Bantama
6,Ashanti Region,3624,Santasi
7,Brong Ahafo Region,3701,Sunyani-Baakoniaba
5,Eastern Region,3702,Odumase
7,Brong Ahafo Region,3703,Sunyani New Town
7,Brong Ahafo Region,3704,Sunyani Abesim
7,Brong Ahafo Region,3705,Wemfie
7,Brong Ahafo Region,3706,Asufufu
7,Brong Ahafo Region,3708,Amantin Ketekrom
